"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"86","cellular response to transforming growth factor beta stimulus (GO:0071560)","2/114",0.00886900643199907,0.0459626578819673,0,0,15.4215838509317,72.8699524024449,"JUN;FOS"
"87","regulation of protein-containing complex assembly (GO:0043254)","2/116",0.00917034824552603,0.0459626578819673,0,0,15.1495041952708,71.0781410481554,"CRYAB;GFAP"
"88","regulation of cellular response to stress (GO:0080135)","2/118",0.00947624482396594,0.0459626578819673,0,0,14.8868065967016,69.3571430037429,"CRYAB;HSPA1A"
"89","negative regulation of transcription by RNA polymerase II (GO:0000122)","4/684",0.00968123367623156,0.0459626578819673,0,0,5.40476190476191,25.0649397229145,"JUN;IFI16;ETV6;HSPA1A"
"90","cellular response to interferon-gamma (GO:0071346)","2/121",0.009943580135498,0.0459626578819673,0,0,14.5093167701863,66.8999661804006,"CD44;ICAM1"
"91","protein localization to presynapse (GO:1905383)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"HSPB1"
"92","positive regulation of cell migration by vascular endothelial growth factor signaling pathway (GO:0038089)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"HSPB1"
"93","anterograde axonal protein transport (GO:0099641)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"HSPB1"
"94","regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"MT3"
"95","axo-dendritic protein transport (GO:0099640)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"HSPB1"
"96","regulation of chaperone-mediated autophagy (GO:1904714)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"GFAP"
"97","leukocyte aggregation (GO:0070486)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"CD44"
"98","vascular associated smooth muscle cell differentiation (GO:0035886)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"APLNR"
"99","venous blood vessel development (GO:0060841)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"APLNR"
"100","regulation of protein glycosylation (GO:0060049)","1/8",0.0099579917015561,0.0459626578819673,0,0,118.857142857143,547.857720990995,"MT3"
"101","regulation of mRNA catabolic process (GO:0061013)","2/122",0.0101016113624518,0.0459626578819673,0,0,14.3876811594203,66.1122628935141,"HSPB1;HSPA1A"
"102","negative regulation of cell growth (GO:0030308)","2/126",0.0107449250173002,0.0459626578819673,0,0,13.9207573632539,63.1072718152076,"MT3;HSPA1A"
"103","negative regulation of growth (GO:0045926)","2/126",0.0107449250173002,0.0459626578819673,0,0,13.9207573632539,63.1072718152076,"MT3;HSPA1A"
"104","positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903589)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"APLNR"
"105","glucosamine-containing compound catabolic process (GO:1901072)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"CHI3L1"
"106","regulation of cellular extravasation (GO:0002691)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"ICAM1"
"107","regulation of gap junction assembly (GO:1903596)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"APLNR"
"108","cellular response to leptin stimulus (GO:0044320)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"MT3"
"109","cellular response to nitric oxide (GO:0071732)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"MT3"
"110","cellular response to reactive nitrogen species (GO:1902170)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"MT3"
"111","sterol catabolic process (GO:0016127)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"MT3"
"112","cholesterol catabolic process (GO:0006707)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"MT3"
"113","regulation of leukocyte mediated cytotoxicity (GO:0001910)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"ICAM1"
"114","positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)","1/9",0.0111960320481715,0.0459626578819673,0,0,103.994791666667,467.164971012792,"HSPA1A"
"115","cellular response to hypoxia (GO:0071456)","2/131",0.0115740314163883,0.0471012756771281,0,0,13.3778227165487,59.6515959279779,"HILPDA;MT3"
"116","transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)","2/133",0.0119133690372257,0.047304475484492,0,0,13.1722535678726,58.3543223004165,"JUN;FOS"
"117","negative regulation of cAMP-mediated signaling (GO:0043951)","1/10",0.0124325865055396,0.047304475484492,0,0,92.4351851851852,405.553302875665,"APLNR"
"118","negative regulation of inclusion body assembly (GO:0090084)","1/10",0.0124325865055396,0.047304475484492,0,0,92.4351851851852,405.553302875665,"HSPA1A"
"119","removal of superoxide radicals (GO:0019430)","1/10",0.0124325865055396,0.047304475484492,0,0,92.4351851851852,405.553302875665,"MT3"
"120","regulation of glycoprotein biosynthetic process (GO:0010559)","1/10",0.0124325865055396,0.047304475484492,0,0,92.4351851851852,405.553302875665,"MT3"
"121","leptin-mediated signaling pathway (GO:0033210)","1/10",0.0124325865055396,0.047304475484492,0,0,92.4351851851852,405.553302875665,"MT3"
"122","regulation of microtubule nucleation (GO:0010968)","1/10",0.0124325865055396,0.047304475484492,0,0,92.4351851851852,405.553302875665,"HSPA1A"
"123","positive regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030949)","1/10",0.0124325865055396,0.047304475484492,0,0,92.4351851851852,405.553302875665,"MT3"
"124","Ras protein signal transduction (GO:0007265)","2/142",0.0134940730405562,0.0484580556587218,0,0,12.3198757763975,53.0432833540559,"JUN;EPS8L2"
"125","alcohol catabolic process (GO:0046164)","1/11",0.0136676567242549,0.0484580556587218,0,0,83.1875,357.10089958134,"MT3"
"126","positive regulation of cellular extravasation (GO:0002693)","1/11",0.0136676567242549,0.0484580556587218,0,0,83.1875,357.10089958134,"ICAM1"
"127","hematopoietic stem cell proliferation (GO:0071425)","1/11",0.0136676567242549,0.0484580556587218,0,0,83.1875,357.10089958134,"ETV6"
"128","positive regulation of lipid localization (GO:1905954)","1/11",0.0136676567242549,0.0484580556587218,0,0,83.1875,357.10089958134,"HILPDA"
"129","cellular response to superoxide (GO:0071451)","1/11",0.0136676567242549,0.0484580556587218,0,0,83.1875,357.10089958134,"MT3"
"130","regulation of inclusion body assembly (GO:0090083)","1/11",0.0136676567242549,0.0484580556587218,0,0,83.1875,357.10089958134,"HSPA1A"
"131","regulation of lamellipodium morphogenesis (GO:2000392)","1/11",0.0136676567242549,0.0484580556587218,0,0,83.1875,357.10089958134,"CD44"
"132","monocyte differentiation (GO:0030224)","1/11",0.0136676567242549,0.0484580556587218,0,0,83.1875,357.10089958134,"IFI16"
"133","regulation of cell population proliferation (GO:0042127)","4/764",0.0141001532456707,0.0493114252339906,0,0,4.81578947368421,20.5228220844756,"JUN;HILPDA;JUNB;HSPA1A"
"134","positive regulation of transcription, DNA-templated (GO:0045893)","5/1183",0.0141544666798662,0.0493114252339906,0,0,3.9891765704584,16.9848169661743,"JUN;IFI16;FOS;JUNB;MT3"
"135","regulation of mRNA stability (GO:0043488)","2/146",0.0142244495867281,0.0493114252339906,0,0,11.9752415458937,50.9282233369878,"HSPB1;HSPA1A"
"136","hemidesmosome assembly (GO:0031581)","1/12",0.0149012443701484,0.0500482965343977,0,0,75.6212121212121,318.086302707901,"DST"
"137","negative regulation of oxidoreductase activity (GO:0051354)","1/12",0.0149012443701484,0.0500482965343977,0,0,75.6212121212121,318.086302707901,"MT3"
"138","smooth muscle cell differentiation (GO:0051145)","1/12",0.0149012443701484,0.0500482965343977,0,0,75.6212121212121,318.086302707901,"APLNR"
"139","negative regulation of amyloid fibril formation (GO:1905907)","1/12",0.0149012443701484,0.0500482965343977,0,0,75.6212121212121,318.086302707901,"CRYAB"
"140","regulation of cytokine production (GO:0001817)","2/150",0.014971712638495,0.0500482965343977,0,0,11.6492361927145,48.9453455426863,"IFI16;HILPDA"
"141","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)","1/13",0.016133351108423,0.0513633218962039,0,0,69.3159722222222,286.057774226389,"CD44"
"142","positive regulation of histone deacetylation (GO:0031065)","1/13",0.016133351108423,0.0513633218962039,0,0,69.3159722222222,286.057774226389,"APLNR"
"143","response to interleukin-6 (GO:0070741)","1/13",0.016133351108423,0.0513633218962039,0,0,69.3159722222222,286.057774226389,"CHI3L1"
"144","response to nitric oxide (GO:0071731)","1/13",0.016133351108423,0.0513633218962039,0,0,69.3159722222222,286.057774226389,"MT3"
"145","positive regulation of ruffle assembly (GO:1900029)","1/13",0.016133351108423,0.0513633218962039,0,0,69.3159722222222,286.057774226389,"EPS8L2"
"146","regulation of oxidoreductase activity (GO:0051341)","1/13",0.016133351108423,0.0513633218962039,0,0,69.3159722222222,286.057774226389,"MT3"
"147","negative regulation by host of viral transcription (GO:0043922)","1/13",0.016133351108423,0.0513633218962039,0,0,69.3159722222222,286.057774226389,"JUN"
"148","cellular response to growth factor stimulus (GO:0071363)","2/158",0.0165162091658716,0.0514325442531758,0,0,11.0473801560758,45.3319634212925,"HSPB1;CD44"
"149","skeletal system development (GO:0001501)","2/158",0.0165162091658716,0.0514325442531758,0,0,11.0473801560758,45.3319634212925,"CHI3L1;CD44"
"150","activation of cysteine-type endopeptidase activity (GO:0097202)","1/14",0.0173639786153884,0.0514325442531758,0,0,63.9807692307692,259.336925257011,"IFI16"
"151","negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)","1/14",0.0173639786153884,0.0514325442531758,0,0,63.9807692307692,259.336925257011,"CD44"
"152","aorta development (GO:0035904)","1/14",0.0173639786153884,0.0514325442531758,0,0,63.9807692307692,259.336925257011,"APLNR"
"153","atrioventricular valve development (GO:0003171)","1/14",0.0173639786153884,0.0514325442531758,0,0,63.9807692307692,259.336925257011,"APLNR"
"154","regulation of histone deacetylation (GO:0031063)","1/14",0.0173639786153884,0.0514325442531758,0,0,63.9807692307692,259.336925257011,"APLNR"
"155","positive regulation of protein deacetylation (GO:0090312)","1/14",0.0173639786153884,0.0514325442531758,0,0,63.9807692307692,259.336925257011,"APLNR"
"156","regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902165)","1/14",0.0173639786153884,0.0514325442531758,0,0,63.9807692307692,259.336925257011,"CD44"
"157","regulation of lamellipodium organization (GO:1902743)","1/14",0.0173639786153884,0.0514325442531758,0,0,63.9807692307692,259.336925257011,"CD44"
"158","covalent chromatin modification (GO:0016569)","1/14",0.0173639786153884,0.0514325442531758,0,0,63.9807692307692,259.336925257011,"MT3"
"159","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236)","1/15",0.0185931285667873,0.0533839519586287,0,0,59.4077380952381,236.737650010476,"HSPA1A"
"160","regulation of amyloid fibril formation (GO:1905906)","1/15",0.0185931285667873,0.0533839519586287,0,0,59.4077380952381,236.737650010476,"CRYAB"
"161","positive regulation of endothelial cell chemotaxis (GO:2001028)","1/15",0.0185931285667873,0.0533839519586287,0,0,59.4077380952381,236.737650010476,"HSPB1"
"162","positive regulation of heterotypic cell-cell adhesion (GO:0034116)","1/15",0.0185931285667873,0.0533839519586287,0,0,59.4077380952381,236.737650010476,"CD44"
"163","regulation of endothelial cell chemotaxis (GO:2001026)","1/15",0.0185931285667873,0.0533839519586287,0,0,59.4077380952381,236.737650010476,"HSPB1"
"164","epiboly involved in wound healing (GO:0090505)","1/16",0.0198208026407264,0.0552150930705951,0,0,55.4444444444444,217.3989559937,"CD44"
"165","activation of NF-kappaB-inducing kinase activity (GO:0007250)","1/16",0.0198208026407264,0.0552150930705951,0,0,55.4444444444444,217.3989559937,"CHI3L1"
"166","regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903587)","1/16",0.0198208026407264,0.0552150930705951,0,0,55.4444444444444,217.3989559937,"APLNR"
"167","retrograde axonal transport (GO:0008090)","1/16",0.0198208026407264,0.0552150930705951,0,0,55.4444444444444,217.3989559937,"DST"
"168","positive regulation by host of viral transcription (GO:0043923)","1/16",0.0198208026407264,0.0552150930705951,0,0,55.4444444444444,217.3989559937,"JUN"
"169","negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)","1/17",0.0210470025189845,0.0572674254586322,0,0,51.9765625,200.681358491182,"CD44"
"170","regulation of cell killing (GO:0031341)","1/17",0.0210470025189845,0.0572674254586322,0,0,51.9765625,200.681358491182,"ICAM1"
"171","cellular response to gamma radiation (GO:0071480)","1/17",0.0210470025189845,0.0572674254586322,0,0,51.9765625,200.681358491182,"CRYAB"
"172","vasculature development (GO:0001944)","1/17",0.0210470025189845,0.0572674254586322,0,0,51.9765625,200.681358491182,"APLNR"
"173","neutrophil degranulation (GO:0043312)","3/481",0.0214681908879848,0.0576421434307723,0,0,5.56209585393686,21.3650276656406,"CHI3L1;CD44;HSPA1A"
"174","neutrophil activation involved in immune response (GO:0002283)","3/485",0.021937509702267,0.0576421434307723,0,0,5.5148057336854,21.064116693887,"CHI3L1;CD44;HSPA1A"
"175","hyaluronan catabolic process (GO:0030214)","1/18",0.0222717298790694,0.0576421434307723,0,0,48.9166666666667,186.100382608801,"CD44"
"176","intermediate filament organization (GO:0045109)","1/18",0.0222717298790694,0.0576421434307723,0,0,48.9166666666667,186.100382608801,"GFAP"
