"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"11","gene expression (GO:0010467)","83/356",3.94473476511097e-15,1.55171521169411e-12,0,0,3.0176345715834,100.084059189233,"RPL3;RPL32;RPL31;RPL34;CELF2;MRPS12;RPL10A;RPL9;RPL6;RPL7;MRPL41;RBM3;RPS4X;RBM4;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;RBM6;MEF2A;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;THOC2;CDC40;MRPS5;MRPS18C;MRPL51;NUP50;EEF1A2;RPL37A;RPL24;RBMS1;RPL27;RPL26;PTMA;SLU7;RPL10;DDX25;RPL12;RPL36A;BAZ2A;U2AF1;RPS4Y1;RPS15A;POM121C;PABPN1;RPL14;POLR2E;RPL13;RPS2;RPS27A;RPL19;POLR2L;CPSF4;MRPL28;RPL35A;RPL23A;MRPL23;SORL1;RPS26;RPS25;RPS27;NOVA1;RPL27A;MPHOSPH10;RNPS1;RPS20;STUB1;RPS24;RPS23"
"12","ncRNA processing (GO:0034470)","56/201",4.86357578112628e-14,1.75372436707778e-11,0,0,3.80366178554558,116.599035935469,"RPL3;RPL32;RPL31;RPL34;INTS10;PWP2;RPL10A;RPL9;RPL6;WDR43;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL35;RPLP2;DGCR8;RPL37;RPL21;RPS7;IMP3;RPL23;RPL22;RPS6;RPL13A;DICER1;EBNA1BP2;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;SNU13;NOL6;RRP7A;RPL14;RPL13;RPS2;RPL19;NOP56;INTS1;INTS3;RPL35A;RPL23A;WDR55;RPS25;RPS27;LAS1L;RPL27A;MPHOSPH10;ESF1;RPS24"
"13","cellular macromolecule biosynthetic process (GO:0034645)","74/314",6.88391577501752e-14,2.29128488911545e-11,0,0,3.05074248293673,92.4588635916029,"RPL3;RPL32;RPL31;RPL34;MRPS12;RPL10A;RPL9;RPL6;RPL7;PTMS;MRPL41;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL35;RPLP2;RPL37;RPS13;RPS12;MEF2A;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL13A;RPS3A;MRPS5;MRPS18C;MRPL51;EEF1A2;RPL37A;RPL24;RBMS1;RPL27;RPL26;PTMA;RPL10;RPL12;RPL36A;BAZ2A;RPS4Y1;TBRG1;RPS15A;FUT9;RPL14;POLR2E;RPL13;RPS2;RPS27A;RPL19;POLR2L;RPA1;MRPL28;RPL35A;NAP1L1;RPL23A;MRPL23;EEF2;EXT1;RPS26;RPS25;RPS27;RPL27A;RNPS1;RPS20;INHA;RPS24;RPS23"
"14","ribosome biogenesis (GO:0042254)","54/192",8.98996693941898e-14,2.77854192477614e-11,0,0,3.85114585564361,115.688737801701,"RPL3;RPL32;RPL31;RPL34;PWP2;RPL10A;RPL9;RPL6;WDR43;RPL7;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL35;RPLP2;RPL37;RPL21;RPS7;IMP3;RPL23;RPL22;RPS6;RPL13A;TSC1;EBNA1BP2;RPL37A;RPL24;RPL27;RPL26;RPL10;RPL12;RPL36A;SNU13;NOL6;RRP7A;RPL14;RPL13;RPS2;RPL19;NOP56;RPL35A;RPL23A;WDR55;RPS25;RPS27;LAS1L;RPL27A;MPHOSPH10;ESF1;DHX29;RPS24;RAN"
"15","cellular protein metabolic process (GO:0044267)","87/417",7.43375748741352e-13,2.14439124320255e-10,0,0,2.61417350765177,73.0075260696818,"APP;RPL3;RPL32;RPL31;RPL34;MRPS12;RPL10A;NAGPA;TTF1;RPL9;FBXO22;RPL6;RPL7;UBE2L3;MRPL41;RPS4X;UBL5;RPL7A;RPS17;LGALS1;RPS16;SERP1;RPL18A;RPS19;RPS18;AKT2;RPL35;RPLP2;RPL37;RPS13;RPS12;RPL21;RPS7;RPS8;RPL23;IGFBP3;FBXO2;RPL22;RPS6;RPL13A;RPS3A;MRPS5;MRPS18C;ADAM17;VCAN;MRPL51;VGF;RPL37A;EEF1A2;RPL24;SPARCL1;YME1L1;RPL27;SCG3;RPL26;RPL10;RPL12;HM13;RPL36A;DENND3;SPG7;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPS27A;RPL19;MBTPS1;TMEM132A;CCDC59;MRPL28;RPL35A;RPL23A;LAMB1;MRPL23;KTN1;RPS26;RPS25;RPS27;MGAT4A;RPL27A;RPS20;FBXL2;RPS24;RPS23;FBN1"
"16","mitochondrial ATP synthesis coupled electron transport (GO:0042775)","23/71",6.57774380660546e-08,1.77886859069886e-05,0,0,4.66039872622892,77.0689622100384,"COX8A;NDUFA13;NDUFB7;NDUFA11;UQCRB;NDUFB11;NDUFA4;NDUFA3;NDUFA10;NDUFA1;NDUFC2;NDUFC1;UQCR11;COX6A1;COX5B;COX6C;COX5A;UQCRH;COX6B1;NDUFS7;NDUFS5;CYC1;COA6"
"17","aerobic electron transport chain (GO:0019646)","22/70",2.30956216981294e-07,5.87851500516507e-05,0,0,4.45537475345168,68.0827494916586,"COX8A;NDUFA13;NDUFB7;NDUFA11;UQCRB;NDUFB11;NDUFA4;NDUFA3;NDUFA10;NDUFA1;NDUFC2;NDUFC1;UQCR11;COX6A1;COX5B;COX6C;COX5A;UQCRH;COX6B1;NDUFS7;NDUFS5;CYC1"
"18","neuron development (GO:0048666)","31/143",7.89930569372928e-06,0.00189890531870926,0,0,2.69409749034749,31.6522393350924,"APP;TENM2;ATP8A2;MYT1L;RASGRF1;GBA;STMN3;STMN4;ASCL1;GBA2;CAMSAP1;BLOC1S1;MAP2;STMN1;MAP4;NCDN;STX3;SH3GL2;GPM6B;MEF2C;UNC5A;ETV1;LAMB1;THOC2;POU3F2;ADCYAP1;GPRIN1;TBC1D24;DCX;CNTN4;MAPT"
"19","regulation of neurotransmitter receptor activity (GO:0099601)","17/58",1.52113101508809e-05,0.00346417573804534,0,0,4.02132837851984,44.6104910271086,"PRRT1;APP;GRIA2;MEF2C;MAPK8IP2;GRIN2B;SHISA7;BEGAIN;GRIN1;CACNG8;GRIN2A;CRH;PTK2B;DLGAP1;NPTX2;DLGAP2;GRIA3"
"20","RNA splicing (GO:0008380)","23/98",3.01534532092908e-05,0.00652369960183006,0,0,2.97819878005023,31.0006998202862,"SRPK2;TCERG1;SNRPN;NONO;WBP4;PRPF4B;U2AF1;RNPC3;SFPQ;RNF113A;SCNM1;PPP2R1A;NOVA1;TRA2B;MPHOSPH10;LUC7L3;RNPS1;SNRPA1;PPIG;HNRNPC;TARDBP;SLU7;SRSF10"
"21","regulation of microtubule polymerization (GO:0031113)","13/40",4.57340285752962e-05,0.0092704134450535,0,0,4.66325640415576,46.5983727162478,"ARL2;GBA2;TUBB4A;CAMSAP1;CLIP3;CLIP1;NAV3;MAP2;STMN1;MAPRE3;RAC1;MAPT;SNCA"
"22","positive regulation of protein transport (GO:0051222)","18/69",4.90657392464364e-05,0.0092704134450535,0,0,3.42294212370939,33.9636282126032,"FRMD4A;ZFAND1;OAZ1;PCM1;CNST;PDCD10;CHP1;ADAM8;ATP13A2;APBB1;DNM1L;PCNT;PPIA;APBB3;MYH10;VAMP2;VPS28;EXOC1"
"23","plasma membrane bounded cell projection organization (GO:0120036)","27/128",4.92765216630992e-05,0.0092704134450535,0,0,2.5980005767567,25.7671329380102,"APP;RASGRF1;GBA;STMN3;STMN4;CAMSAP1;BLOC1S1;MAP2;STMN1;MAP4;RAC1;NCDN;STX3;SH3GL2;GPM6B;UNC5A;LAMB1;ATP1B2;TTC17;ADCYAP1;FAM161A;CTTN;GPRIN1;TBC1D24;CNTN4;MAPT;MNS1"
"24","regulation of cation channel activity (GO:2001257)","21/89",6.05183003212373e-05,0.0109109452287498,0,0,2.9970825426945,29.1093582690578,"PRRT1;APP;GRIA2;MEF2C;HOMER1;HPCA;MAPK8IP2;GRIN2B;SHISA7;GRIN1;FKBP1A;CACNG8;GRIN2A;FGF14;SLMAP;CRH;PTK2B;CALM1;CALM2;VAMP2;GRIA3"
"25","chemical synaptic transmission (GO:0007268)","50/306",7.93692798383162e-05,0.0137372349544158,0,0,1.9054435759148,17.9900533930319,"GABRB2;SNAP25;RAB3A;HTR2A;CDH8;NRGN;GRM3;DLGAP1;PRKACB;DLGAP2;UNC13A;PDYN;SYN2;SYN1;GABRG1;PRKAR1B;TBC1D24;CRH;AMPH;VAMP2;PAFAH1B1;NAPA;GRIA2;CACNA1A;NRXN2;LIN7C;CAMKK2;GRIN2A;HRH3;PRKAR2B;HRH2;MAPK1;NPTX2;SNCB;GRIA3;SNCA;SYT5;NLGN4Y;GABBR2;GABRA1;RIC3;HOMER1;GABRA3;GRIN2B;GRIN1;NOVA1;APBA1;CALM1;APBA2;SCN2B"
"26","cytoplasmic microtubule organization (GO:0031122)","15/54",9.45840492739564e-05,0.0148533585675213,0,0,3.72660565586611,34.5308089060847,"DST;STMN3;WDR73;CAMSAP1;CLIP3;CLIP2;CCDC88A;PCM1;CLIP1;HOOK2;TUBGCP5;CHP1;MAPT;TPPP;KPNB1"
"27","positive regulation of protein modification process (GO:0031401)","38/214",9.58294062878755e-05,0.0148533585675213,0,0,2.10203842549203,19.4500374574501,"APP;TFRC;GBA;CRKL;CAMKK2;MYDGF;FLCN;FGF9;THPO;AKT2;RB1CC1;FLOT1;NPTN;CHP1;RAC1;MAPK3;PPP1R16B;HSP90AA1;LIMCH1;INSR;CEP295;NTRK3;ASPSCR1;MT3;PTK2;CLIP3;ADAM17;FAM161A;RAB3GAP2;PIN1;TERF2IP;CALM3;TNIK;WDFY2;CALM1;CALM2;PPIA;TRABD2A"
"28","negative regulation of microtubule polymerization or depolymerization (GO:0031111)","11/32",9.86430271145297e-05,0.0148533585675213,0,0,5.06946778711485,46.7607861328699,"CLIP3;NAV3;ATXN7;MAP2;STMN1;ARHGEF2;FKBP4;TUBB4A;TRIM54;CAMSAP1;SNCA"
"29","positive regulation of cellular component movement (GO:0051272)","10/27",9.95487401104964e-05,0.0148533585675213,0,0,5.69120005030339,52.443629812794,"DUOX1;STK11;ADAM17;RPS19;CCDC25;AKT2;SPOCK2;TWIST1;ACTN4;PHPT1"
"30","substantia nigra development (GO:0021762)","13/43",0.000106316769031404,0.0153344219866294,0,0,4.19623483226267,38.3917197898823,"YWHAE;CCDC14;DYNLL1;ACTB;COX6B1;FGF9;BASP1;CALM3;CKB;CALM1;CALM2;INA;YWHAH"
"31","regulation of neuron death (GO:1901214)","20/86",0.000111422322373172,0.0155523996422167,0,0,2.93960562095973,26.7568279281697,"CHGA;PRNP;MEF2C;EGLN2;DCC;GBA;FAIM2;TSC1;NENF;CLU;GRIN2B;SORL1;UBB;CHP1;CHMP4A;ATP13A2;MAPT;SNCB;CD200;SNCA"
"32","neuron projection development (GO:0031175)","32/171",0.000121547094731505,0.0160346855932406,0,0,2.23865904572178,20.1819786381365,"APP;TRIO;RASGRF1;GBA;STMN3;STMN4;CAMSAP1;UBB;BLOC1S1;MAP2;STMN1;MAP4;NCDN;STX3;SH3GL2;GPM6B;MAP4K4;UNC5A;LAMB1;DICER1;DCLK1;ADCYAP1;ARC;SLC9A6;CTTN;GPRIN1;TBC1D24;TNIK;CNTN4;MAPT;GAS7;ZPR1"
"33","synaptic vesicle endocytosis (GO:0048488)","12/38",0.000122289028097282,0.0160346855932406,0,0,4.46795900728485,40.2523932935773,"NLGN4Y;SYT5;DNM3;DNAJC6;CANX;AMPH;SYNJ2;SNCB;DNM1;SNAP91;VAMP2;SNCA"
"34","regulation of microtubule polymerization or depolymerization (GO:0031110)","10/28",0.000141860753318721,0.018053867047356,0,0,5.37472533998456,47.6236385112293,"MAP2;STMN1;ARL2;STMN3;STMN4;MAPRE3;MAPT;FKBP4;GBA2;CAMSAP1"
"35","nervous system development (GO:0007399)","66/447",0.000153738817524611,0.0190065103836855,0,0,1.69296110713434,14.8646308783074,"ROBO2;MESP1;NRSN2;GMFB;NRSN1;MYT1L;ROGDI;ATN1;STMN3;MTR;GBA2;PKD1;NRGN;DPYSL2;DNER;SH3GL2;EMX1;MEF2C;SZT2;RBFOX2;RBFOX3;APLP1;NAV1;NAV2;HPCAL4;POU3F2;DNM3;ZEB2;VCAN;NAV3;FEZ1;ADGRB1;DCX;EVL;TAGLN3;LY6H;PAFAH1B3;SHANK2;HDAC4;PRPS1;GSTP1;NRXN2;SPG7;ASCL1;ACVR1B;NPAS1;KALRN;NPAS2;NEUROD2;SPOCK2;ADAM23;DRD1;GPM6B;MARCKSL1;ZBTB16;POU6F2;ARHGAP26;DCLK1;AHI1;NFASC;NF1;APBA1;CNTN4;SCN2A;APBA2;ITM2B"
"36","mitochondrial electron transport, NADH to ubiquinone (GO:0006120)","12/39",0.000161635045810738,0.0191757292759003,0,0,4.30224124606147,37.5592955994802,"NDUFA13;NDUFB7;NDUFA11;NDUFS7;NDUFB11;NDUFA4;NDUFA3;NDUFS5;NDUFA10;NDUFA1;NDUFC2;NDUFC1"
"37","ciliary basal body-plasma membrane docking (GO:0097711)","21/95",0.000163970876637003,0.0191757292759003,0,0,2.753160418483,23.9960553944076,"YWHAE;OFD1;DYNC1I2;HSP90AA1;CETN2;TUBB;SSNA1;CEP164;DYNLL1;TUBB4B;TUBB4A;TUBA4A;AHI1;PCM1;PPP2R1A;TCTN3;PRKAR2B;NPHP4;PCNT;YWHAG;PAFAH1B1"
"38","anterograde trans-synaptic signaling (GO:0098916)","41/244",0.000182173753274751,0.0199074994558208,0,0,1.96657742557293,16.9333125398458,"GABRB2;GRIA2;SNAP25;CACNA1A;NRXN2;HTR2A;CAMKK2;NRGN;GRM3;GRIN2A;HRH3;PRKAR2B;HRH2;MAPK1;DLGAP1;NPTX2;SNCB;PRKACB;GRIA3;SNCA;SYT5;NLGN4Y;GABBR2;GABRA1;HOMER1;GABRA3;PDYN;GRIN2B;SYN2;SYN1;GABRG1;GRIN1;PRKAR1B;NOVA1;CRH;APBA1;AMPH;CALM1;APBA2;SCN2B;PAFAH1B1"
"39","synaptic vesicle recycling (GO:0036465)","11/34",0.000183342778575293,0.0199074994558208,0,0,4.62813299232737,39.8211646028099,"NLGN4Y;SYT5;RAB3A;CANX;TBC1D24;AMPH;SYNJ2;SNCB;SYT7;VAMP2;SNCA"
"40","ribosomal large subunit biogenesis (GO:0042273)","15/57",0.000184030501093791,0.0199074994558208,0,0,3.45984535293217,29.7560852755441,"RPL3;RPL10;RPL35A;SNU13;RPL23A;RPL10A;RPL6;RPL7;RPL7A;EBNA1BP2;LAS1L;RPL14;RPL24;RPL26;RRP15"
"41","regulation of mRNA splicing, via spliceosome (GO:0048024)","20/90",0.000215571209951352,0.0227506494014512,0,0,2.77101404774699,23.3935081702552,"SRPK2;DAZAP1;RBM25;RBFOX2;RBFOX3;CELF1;CELF2;CIRBP;CELF5;RBM3;RBM4;SON;PCBP4;NOVA1;C1QBP;TRA2B;TRA2A;RNPS1;NSRP1;SRSF10"
"42","cellular response to oxidative stress (GO:0034599)","25/125",0.000223895643806725,0.0230665821607547,0,0,2.42712823275862,20.3983878109896,"GSTP1;ZFAND1;AGAP3;CAMKK2;PRDX2;PRDX5;PRDX1;MAPK1;ROMO1;MPV17;PDK2;MAPK3;SNCA;JUN;GPX3;SOD2;MT3;ETV5;CCS;CAT;ATP13A2;MAPT;PPIA;HSPA1B;HSPA1A"
"43","neuron projection morphogenesis (GO:0048812)","27/140",0.000240039317590043,0.0240758678824761,0,0,2.32056018558295,19.3411911365769,"APP;RAB3A;TRIO;ACTB;UBB;SLITRK2;MAP2;CPNE1;APBB1;MAP4K4;MEF2A;NTNG1;DCC;LMTK2;DICER1;MAPK8IP2;DCLK1;RAB10;ARC;SLC9A6;CTTN;ADGRB1;TMEM106B;CTNNB1;TNIK;CNTN4;GAS7"
"44","regulation of protein polymerization (GO:0032271)","11/35",0.000244820473036503,0.0240758678824761,0,0,4.43504901960784,36.8773677537994,"HSP90AA1;HAX1;CTTN;MAP2;ARL2;MAPRE3;TPPP;MAPT;PFN1;GBA2;CAMSAP1"
"45","cellular monovalent inorganic cation homeostasis (GO:0030004)","8/20",0.00026983454013455,0.0259460901147155,0,0,6.4449190247375,52.9624213887374,"SLC12A2;ATP6AP1;KCNMA1;ATP1A3;ATP1A1;ATP1B2;ATP1B1;SLC8A1"
"46","response to reactive oxygen species (GO:0000302)","15/59",0.000278090141862849,0.0260893001235927,0,0,3.30221426483484,27.0370947480437,"JUN;GSTP1;AGAP3;SOD2;CAMKK2;PRDX5;PDCD10;CAT;MAPK1;APOD;ROMO1;MPV17;MAPT;PDK2;MAPK3"
"47","regulation of cell cycle G2/M phase transition (GO:1902749)","19/85",0.000283382737649377,0.0260893001235927,0,0,2.79112554112554,22.7999011037067,"YWHAE;OFD1;DYNC1I2;HSP90AA1;CETN2;TUBB;SSNA1;CEP164;DYNLL1;TUBB4B;TUBB4A;TUBA4A;PCM1;PPP2R1A;PRKAR2B;NEK10;PCNT;YWHAG;PAFAH1B1"
"48","RNA processing (GO:0006396)","32/179",0.000289892731925971,0.0261326218967432,0,0,2.11588540229504,17.2360016266079,"TCERG1;CELF1;CELF2;WBP4;U2AF1;TSEN2;RNPC3;RBM3;RBM4;PABPN1;PPP2R1A;RBM6;SRPK2;SNRPN;NONO;PRPF4B;DICER1;SFPQ;SON;SCNM1;NOVA1;MPHOSPH10;LUC7L3;RBMS1;RNPS1;SNRPA1;PPIG;HNRNPC;AURKAIP1;TARDBP;PRMT9;SLU7"
"49","cellular response to heat (GO:0034605)","11/36",0.000322827861849106,0.0285076766983894,0,0,4.25741176470588,34.2227417420992,"YWHAE;HSP90AA1;HSP90AB1;DHX36;STUB1;ZFAND1;TRPV1;MAPT;SLU7;HSPA1B;HSPA1A"
"50","positive regulation of synaptic transmission (GO:0050806)","17/73",0.000349264091512045,0.0300231868503335,0,0,2.94174394543225,23.4153469568289,"APP;CLSTN2;CLSTN1;ADCY1;GRIN2B;SHISA7;BAIAP3;RIMS2;ARC;CACNG8;GRIN2A;FLOT1;NPTN;PTK2B;DRD1;SHANK2;VAMP2"
"51","regulation of focal adhesion assembly (GO:0051893)","14/54",0.000353867004706958,0.0300231868503335,0,0,3.3892072844135,26.9326387089856,"MACF1;DMTN;LIMCH1;TSC1;THY1;PTK2;ACTG1;ITGB1BP1;APOD;RAC1;PHLDB2;VCL;GPM6B;MAP4K4"
"52","supramolecular fiber organization (GO:0097435)","53/351",0.000381099615888098,0.031424063638486,0,0,1.73386581586947,13.6497715225256,"APP;HSP90AB1;COL12A1;STMN3;STMN4;PCM1;CALB1;MPRIP;STMN1;CHP1;RAC1;B2M;DST;ACTN1;WDR73;CLIP3;CLIP2;CLIP1;COL6A1;EVL;ITGA6;ARHGEF2;MAPT;ALDOA;PLEC;COL11A1;LTBP3;CAMSAP1;RHOBTB1;UBB;MYO6;UBC;TPPP;WHAMM;RPS27A;SNCA;MARCKSL1;COL24A1;HIP1R;MYO19;SORL1;GFAP;FKBP1A;CCDC88A;HOOK2;COL5A2;CORO6;FAT1;NF1;TUBGCP5;PIN1;ITM2B;BCAR1"
"53","negative regulation of microtubule polymerization (GO:0031115)","6/12",0.000384903021224812,0.031424063638486,0,0,9.66026666666667,75.954031644635,"CLIP3;MAP2;STMN1;ARHGEF7;TUBB4A;SNCA"
"54","maturation of LSU-rRNA (GO:0000470)","9/26",0.000400511143978758,0.0320928096295571,0,0,5.11934389140271,40.0474445234154,"RPL7A;DDX18;LAS1L;ZNHIT6;RPL35;SNU13;RPL10A;RRP15;RPL7"
"55","negative regulation of protein phosphorylation (GO:0001933)","28/152",0.000409212762661158,0.0321938840733605,0,0,2.19286945319708,17.107178378264,"TRAF3IP1;GSTP1;TWIST1;HSPB1;THY1;CRKL;SPRED3;CAMK2N1;CHP1;SH3GL2;YWHAG;SNCA;PRNP;DMTN;IGFBP3;NTRK3;TSC2;DGKQ;FKBP8;NF1;TERF2IP;CALM3;ITGB1BP1;CALM1;TARDBP;PPIA;TRIB2;CALM2"
